                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4048,                 1.9975,                 1.5997,                0.76953,                0.31254,                0.33238,                0.23434,                 2.4928,                 2.2133,                 2.5182,             0.00060847,             0.00060847,             0.00060847
                     60,                  1.383,                 1.9301,                 1.5747,                0.78128,                 0.3176,                0.33943,                0.24015,                 2.4819,                 2.1787,                 2.4969,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.4062,                 2.0056,                 1.6024,                0.75618,                0.31516,                0.33788,                0.24353,                 2.4914,                 2.1129,                 2.5341,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.3953,                 1.9718,                 1.5891,                0.77213,                0.31213,                0.33814,                0.24132,                 2.5447,                 2.1802,                 2.6087,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.3585,                 1.9487,                 1.5678,                0.78553,                0.31403,                0.34404,                 0.2434,                 2.5319,                  2.083,                 2.5619,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.3704,                 1.9422,                 1.5786,                0.81184,                0.31637,                0.34664,                0.24757,                 2.4992,                 2.1242,                 2.5665,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.3518,                 1.8823,                 1.5538,                0.81055,                0.32188,                0.35246,                0.25114,                 2.5052,                 2.0839,                 2.5704,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.3594,                 1.9103,                 1.5584,                0.77674,                0.32231,                0.35123,                0.25323,                 2.4708,                  2.089,                 2.5314,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.3487,                 1.8816,                 1.5534,                0.78066,                0.32721,                0.35022,                0.25056,                  2.482,                 2.1327,                   2.54,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.3504,                 1.9085,                 1.5667,                0.77066,                0.32096,                0.34304,                0.24561,                 2.4907,                 2.1799,                 2.5631,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.3574,                 1.9011,                 1.5594,                0.74055,                 0.3153,                0.33095,                0.23786,                 2.4764,                 2.2062,                 2.5031,               0.000467,               0.000467,               0.000467
                     70,                 1.3323,                 1.8481,                 1.5331,                0.74255,                0.31965,                0.32515,                 0.2338,                 2.4943,                 2.2666,                 2.5516,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.3418,                 1.8623,                 1.5452,                0.76375,                0.31749,                0.32958,                0.23778,                 2.4805,                 2.3006,                 2.5436,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.3215,                 1.8452,                 1.5357,                0.72646,                0.32563,                0.32232,                0.23193,                  2.455,                 2.2965,                 2.5133,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.3386,                  1.856,                 1.5431,                 0.7083,                0.32286,                0.33553,                0.24498,                 2.4589,                 2.2116,                 2.5605,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.3381,                 1.8713,                 1.5546,                0.76096,                0.32259,                0.33178,                0.24114,                 2.4587,                 2.2371,                 2.5736,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.3303,                  1.832,                 1.5296,                0.74678,                 0.3237,                0.33862,                0.24489,                 2.4632,                 2.1341,                 2.5579,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.2979,                 1.8182,                 1.5201,                0.78122,                0.31457,                0.32076,                0.23272,                 2.4781,                 2.2963,                 2.5567,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.3232,                 1.8388,                 1.5427,                0.75947,                 0.3203,                0.33011,                0.24119,                 2.4676,                 2.2862,                 2.5558,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.3261,                 1.8254,                 1.5353,                0.83393,                0.31714,                0.34276,                0.24585,                 2.4448,                  2.171,                 2.5168,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.2786,                 1.7514,                 1.4996,                0.80557,                0.31777,                0.33448,                0.24476,                 2.4811,                 2.2252,                 2.5797,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.2998,                  1.771,                 1.5023,                0.75005,                0.32583,                0.33488,                0.23831,                 2.4497,                 2.1959,                 2.5182,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.2953,                 1.7546,                 1.5046,                0.78536,                0.32401,                0.33868,                0.24568,                 2.4713,                  2.178,                 2.5679,             0.00029723,             0.00029723,             0.00029723
                     82,                    1.3,                  1.775,                 1.5122,                0.78044,                 0.3199,                0.33055,                 0.2389,                 2.4436,                 2.2305,                 2.5123,             0.00028308,             0.00028308,             0.00028308
                     83,                  1.287,                 1.7632,                 1.5085,                0.76578,                0.32795,                0.33515,                0.24231,                 2.4559,                 2.2332,                 2.5836,             0.00026894,             0.00026894,             0.00026894
                     84,                  1.277,                 1.7576,                 1.5059,                0.74024,                0.32238,                0.33006,                0.23908,                 2.4379,                 2.2225,                 2.5354,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.2827,                 1.7372,                 1.4987,                0.80467,                0.31873,                0.33306,                0.24082,                 2.4444,                  2.248,                 2.5568,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.2588,                 1.7031,                 1.4832,                0.77033,                0.32393,                0.33122,                0.24114,                  2.426,                  2.232,                 2.5397,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.2723,                 1.7319,                  1.489,                0.75933,                0.32396,                0.34137,                 0.2498,                  2.444,                 2.1983,                 2.5526,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.2548,                 1.7021,                 1.4793,                0.81814,                   0.32,                0.34255,                0.24914,                 2.4381,                  2.187,                 2.5554,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.2636,                 1.7387,                 1.4988,                 0.7666,                0.32315,                0.34314,                0.25342,                 2.4232,                 2.1955,                  2.551,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.2617,                 1.7101,                 1.4817,                0.84839,                0.31521,                0.34181,                0.25075,                 2.4392,                 2.2151,                 2.5496,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.3067,                 1.7939,                 1.5946,                0.80845,                 0.3205,                0.34491,                0.25303,                 2.4323,                  2.097,                 2.5743,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.2765,                 1.6949,                 1.5559,                0.82904,                0.31835,                 0.3442,                0.25137,                 2.4279,                 2.1229,                 2.5322,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.2697,                 1.6774,                 1.5474,                0.82711,                0.31672,                0.34006,                0.24956,                 2.4283,                 2.1287,                 2.5574,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.2481,                 1.6555,                 1.5457,                0.82352,                0.31684,                0.34168,                0.25053,                 2.4225,                 2.1529,                 2.5519,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.2507,                  1.643,                 1.5339,                0.78327,                0.32168,                0.33517,                0.24546,                  2.427,                 2.1845,                 2.5581,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                  1.253,                 1.6451,                 1.5445,                0.81646,                0.31766,                0.34221,                0.25352,                 2.4186,                 2.1713,                 2.5437,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.2312,                 1.6224,                 1.5283,                0.83583,                0.31654,                0.34099,                 0.2505,                 2.4241,                 2.1431,                 2.5586,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.2323,                 1.6123,                 1.5215,                0.78212,                0.32217,                0.33927,                0.24875,                 2.4223,                 2.1794,                 2.5545,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.2204,                 1.6087,                 1.5233,                0.82941,                0.31709,                0.34164,                0.25237,                 2.4205,                 2.1612,                 2.5608,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.2183,                 1.6113,                 1.5197,                0.84811,                0.31537,                0.34072,                0.25185,                 2.4187,                 2.1643,                 2.5535,             2.8437e-05,             2.8437e-05,             2.8437e-05
