                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.5345,                 1.6571,                  1.616,                0.87342,                0.48219,                0.53579,                0.38197,                 2.0885,                 2.1837,                 2.1559,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                   1.49,                 1.6514,                 1.6064,                0.90002,                0.47829,                0.54803,                0.38921,                 2.0377,                 2.1169,                 2.0926,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                 1.5252,                 1.6667,                 1.6124,                 0.8877,                0.47397,                0.52713,                0.37914,                 2.0717,                 2.2305,                 2.1458,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                 1.4913,                 1.6883,                 1.6147,                0.89296,                0.48524,                0.55069,                 0.3896,                 2.0296,                    2.1,                 2.0789,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                 1.4955,                 1.6507,                 1.5961,                0.87679,                 0.4815,                0.55273,                0.39004,                 2.0407,                 2.1033,                 2.0963,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                 1.4723,                 1.6052,                 1.5748,                0.88661,                0.48831,                0.56159,                0.39735,                 2.0099,                 2.0596,                 2.0559,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                  1.477,                 1.5967,                 1.5788,                0.86765,                0.48506,                0.54905,                0.38712,                 2.0547,                 2.1092,                 2.1067,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                 1.4714,                 1.5875,                 1.5643,                0.90628,                0.47633,                0.54347,                0.38969,                 2.0391,                 2.1475,                 2.0763,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                  1.471,                 1.6023,                 1.5711,                0.86839,                0.47578,                 0.5322,                0.38331,                 2.0928,                 2.1775,                 2.1655,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                 1.4294,                 1.5276,                 1.5393,                0.88076,                0.47908,                0.53938,                0.39048,                 2.0784,                  2.134,                 2.1429,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                 1.4649,                 1.5994,                 1.5663,                0.87912,                0.47768,                 0.5322,                0.38321,                  2.075,                 2.1835,                 2.1456,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                 1.4374,                 1.5482,                 1.5468,                0.86716,                0.48274,                 0.5409,                0.38605,                 2.0453,                 2.1482,                 2.1166,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                 1.4636,                 1.6105,                 1.5849,                 0.8734,                0.48846,                0.54902,                0.39305,                 2.0354,                 2.1067,                 2.1015,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                 1.5543,                 1.8192,                 1.7215,                0.84354,                0.47642,                0.53116,                0.37583,                 2.0853,                 2.2039,                 2.1752,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                  1.541,                  1.805,                 1.7092,                0.81167,                 0.4574,                 0.5033,                0.36039,                 2.1002,                 2.2669,                 2.1665,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                 1.4548,                  1.687,                 1.6607,                0.83532,                0.46959,                0.52437,                0.37557,                 2.0628,                 2.1811,                 2.1162,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                 1.4208,                 1.6355,                 1.6381,                0.84111,                0.48806,                0.54446,                0.39165,                 2.0519,                 2.1581,                 2.1063,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                 1.4146,                 1.6442,                 1.6311,                 0.8726,                0.47461,                0.54048,                0.38771,                 2.0615,                 2.1476,                 2.1088,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                 1.4022,                 1.6121,                 1.6032,                0.85818,                0.47886,                0.54182,                0.38944,                 2.0543,                 2.1435,                 2.1119,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                 1.3933,                 1.6168,                 1.6188,                0.88159,                0.47386,                0.53983,                0.38937,                 2.0689,                 2.1568,                 2.1287,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                 1.4018,                 1.6318,                 1.6224,                0.85853,                0.48438,                0.54583,                0.39218,                 2.0506,                  2.133,                 2.1014,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                 1.3929,                  1.588,                 1.6078,                 0.8421,                0.48862,                0.54413,                0.39162,                 2.0554,                 2.1397,                 2.1122,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                 1.3839,                 1.6107,                 1.6079,                 0.8469,                0.48571,                 0.5422,                0.39178,                 2.0596,                  2.147,                 2.1155,             8.2983e-06,             8.2983e-06,             8.2983e-06
