                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.494,                 1.4284,                 1.3849,                0.88074,                0.60727,                0.73788,                  0.524,                 1.2277,                 1.1316,                  1.288,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.4787,                 1.4325,                 1.3828,                0.89376,                0.62315,                0.75059,                0.53517,                 1.2002,                 1.1017,                 1.2632,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.4878,                 1.4322,                 1.3911,                0.88648,                0.61737,                0.74787,                0.52836,                 1.2168,                 1.1204,                 1.2677,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.5081,                  1.431,                 1.3878,                0.88546,                0.62841,                 0.7533,                0.53807,                 1.2031,                 1.1043,                 1.2682,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.4504,                 1.3783,                 1.3619,                0.87063,                0.65058,                0.76097,                0.54558,                 1.1864,                 1.0894,                 1.2519,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.5024,                  1.464,                 1.4062,                0.89801,                 0.6248,                0.75627,                0.53362,                 1.2014,                  1.103,                 1.2595,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.4713,                 1.4098,                 1.3783,                0.90852,                0.63684,                0.76386,                0.55184,                 1.1617,                 1.0759,                 1.2393,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.4585,                 1.3923,                 1.3585,                0.90047,                0.63157,                0.76185,                0.54948,                 1.1728,                 1.0842,                 1.2442,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.4732,                 1.4659,                 1.4535,                 0.8781,                0.63104,                0.74924,                0.53223,                 1.2123,                 1.1392,                 1.2649,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.4166,                 1.3992,                 1.4216,                0.89901,                0.61995,                0.75538,                0.53926,                 1.1946,                 1.1145,                 1.2466,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.3692,                 1.3497,                 1.3839,                0.89067,                0.63591,                0.76167,                0.54588,                 1.1708,                 1.0972,                 1.2385,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.3886,                 1.3692,                 1.3926,                0.87482,                 0.6507,                   0.77,                0.55431,                 1.1624,                 1.0696,                 1.2313,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.3684,                 1.3413,                 1.3687,                0.86757,                0.65225,                0.77167,                0.56062,                  1.153,                 1.0646,                 1.2287,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 1.3705,                 1.3391,                 1.3859,                 0.8756,                0.65149,                0.77379,                0.56282,                 1.1412,                 1.0535,                  1.222,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.3654,                 1.3459,                 1.3809,                0.90025,                0.64778,                0.77508,                0.56384,                 1.1437,                 1.0492,                 1.2208,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.3403,                 1.3098,                 1.3619,                0.90245,                0.65194,                0.77781,                0.56694,                 1.1343,                 1.0468,                 1.2177,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.3271,                 1.2983,                 1.3545,                0.90439,                0.65192,                0.77881,                0.56885,                  1.127,                 1.0378,                  1.215,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.3322,                 1.3151,                   1.36,                 0.8986,                 0.6543,                 0.7788,                0.56872,                  1.134,                 1.0394,                 1.2172,             2.8437e-05,             2.8437e-05,             2.8437e-05
